"pops","distance","countsum","orte","norm"
220177.40625,682.07207,211,"Swidnica, Polen",0.000958318128974689
220928.296875,8997.207858,207,"Zhejiang, China",0.000936955577569674
221273,1557.11124,145,"Bacau, Rumänien",0.000655299110149001
221687.5,188.2441752,732,"Kassel, Hessen",0.0033019453058923
221876,2497.756745,182,"Kirsehir, Türkei",0.00082027799311327
224726,1821.946546,127,"Warna, Bulgarien",0.000565132650427632
228122,8033.466716,171,"Liaoning, China",0.000749598898834834
230277.90625,162.9730524,559,"Wiesbaden, Hessen",0.00242750166137573
231056,241.4353101,1551,"Hannover, Niedersachsen",0.00671265840315768
233988.59375,292.7970386,212,"Pforzheim, Baden-Württemberg",0.000906027069962678
234207.90625,51.72857542,151,"Engelskirchen, Nordrhein-Westfalen",0.000644726313546471
235813.203125,221.1222599,472,"Saarbrücken, Saarland",0.00200158427834001
238445.59375,1295.83539,327,"Riga, Lettland",0.00137138201992881
247158.703125,41.5429278233333,409,"Wipperfürth, Nordrhein-Westfalen<br>Radevormwald, Nordrhein-Westfalen<br>Hückeswagen, Nordrhein-Westfalen",0.00165480719403657
248657.203125,487.6428491,1073,"Dresden, Sachsen",0.00431517762813653
250540.59375,101.5314489,2434,"Münster , Nordrhein-Westfalen",0.00971499254299983
254615.203125,29.709275155,525,"Bergheim , Nordrhein-Westfalen<br>Lipp , Nordrhein-Westfalen",0.00206193500449483
257578.796875,91.456125925,1139,"Ahlen, Nordrhein-Westfalen<br>Hamm , Nordrhein-Westfalen",0.00442194782264141
260736.09375,8238.758702,193,"Shandong, China",0.000740212055892243
261788.09375,350.6658121,717,"Magdeburg, Sachsen-Anhalt",0.00273885641523756
263285.59375,842.04276285,520,"Gliwice (Gleiwitz), Polen<br>Pyskowice (Peiskretscham), Polen",0.00197504159872021
265330,290.2129486,208,"Heilbronn, Baden-Württemberg",0.000783929446349829
267547.09375,413.1260786,735,"Kiel, Schleswig-Holstein",0.00274717990652814
272382.8125,41.57201051,1415,"Wesel , Nordrhein-Westfalen<br>Rheinberg , Nordrhein-Westfalen<br>Kamp-Lintfort , Nordrhein-Westfalen",0.00519489459343181
296130.40625,8601.248784,248,"Jiangsu, China",0.000837468881161203
296308.09375,271.3400063,611,"Karlsruhe, Baden-Württemberg",0.00206204289686231
303160.40625,797.7638509,341,"Bydgoszcz (Bromberg), Polen",0.00112481707033601
305489.1875,8624.130429,125,"Hunan, China",0.000409179784800076
307986.5,239.9957872,151,"Delmenhorst, Niedersachsen",0.000490281229859101
309247,4547.270675,341,"Karaganda, Kasachstan",0.00110267844150469
309958.8125,4168.137179,121,"Isfahan, Iran",0.000390374446927525
314369.40625,2075.611055,351,"Charkow, Ukraine",0.00111652086056004
314653.40625,4771.651347,121,"Herat, Afghanistan",0.000384550103690479
319874.40625,3499.192882,218,"Baku, Aserbaidschan",0.000681517482300915
320029.09375,434.1667047,540,"Chemnitz, Sachsen",0.00168734658987547
320833.1875,161.066931766667,1919,"Bünde , Nordrhein-Westfalen<br>Herford, Nordrhein-Westfalen<br>Bielefeld , Nordrhein-Westfalen",0.00598130142007207
323236.59375,839.8671009,105,"Rybnik, Polen",0.000324839458248993
331171.5,436.5638867,252,"Augsburg, Bayern",0.000760935044229349
336662,717.6946209,1370,"Wroclaw (Breslau), Polen",0.00406936333770963
341301.5,201.2763454,332,"Darmstadt, Hessen",0.000972746970054336
341924.8125,584.2302131,502,"Szczecin (Stettin), Polen",0.00146815902692057
343628.8125,9382.995847,168,"Chiba, Japan",0.000488899632070288
348973.8125,2131.124347,126,"Fes, Marokko",0.000361058610952362
352623.59375,1808.638006,129,"Constanta, Rumänien",0.000365829179574006
352753.59375,4970.395138,105,"Benin City, Nigeria",0.000297658200682753
361788,945.1334318,127,"Kraków (Krakau), Polen",0.000351034307384435
363740.6875,2136.957436,147,"Simferopol, Ukraine",0.000404134057727595
370261.6875,209.2120155,116,"Worms , Rheinland-Pfalz",0.000313291933559829
373957.5,249.0572251,1278,"Bremen, Bremen",0.00341750065181204
373989.1875,63.196682595,707,"Iserlohn , Nordrhein-Westfalen<br>Schwerte , Nordrhein-Westfalen",0.00189042898466149
376136.5,2986.278089,177,"Tripoli, Libanon",0.000470573847526098
376238.8125,1573.84657,105,"Iasi, Rumänien",0.000279078065610257
383135,232.228028066667,812,"Speyer , Rheinland-Pfalz<br>Mannheim, Baden-Württemberg<br>Ludwigshafen am Rhein , Rheinland-Pfalz",0.00211935740665823
383533.90625,190.5588577,441,"Hanau, Hessen<br>Offenbach am Main, Hessen",0.00114983315115963
383824.1875,68.19473356,2409,"Bad Neuenahr-Ahrweiler , Rheinland-Pfalz<br>Bonn , Nordrhein-Westfalen",0.00627631107797239
399822.3125,918.244798,121,"Dublin, Irland",0.000302634435890818
400323.1875,15.0269436743333,6262,"Grevenbroich , Nordrhein-Westfalen<br>Korschenbroich , Nordrhein-Westfalen<br>Neuss , Nordrhein-Westfalen",0.0156423614607635
400725.3125,243.0183878,617,"Heidelberg, Baden-Württemberg",0.00153970807621493
401481.40625,1666.820944,128,"Chisinau, Moldawien",0.000318819247933727
401723.59375,29.57327107,3719,"Erkelenz, Nordrhein-Westfalen<br>Mönchengladbach , Nordrhein-Westfalen",0.00925760910700804
403534.09375,882.4969942,210,"Lodz, Polen",0.000520402125254132
415078.5,61.6406854,2547,"Aachen, Nordrhein-Westfalen<br>Bardenberg, Nordrhein-Westfalen<br>Geilenkirchen , Nordrhein-Westfalen",0.00613618869683686
417385,341.2503298,270,"Tübingen, Baden-Württemberg",0.00064688477065539
422423.90625,870.0305463,641,"Gdansk  (Danzig), Polen",0.00151743305839476
427576.3125,170.39078065,625,"Mainz , Rheinland-Pfalz<br>Bad Soden am Taunus, Hessen",0.00146172737293533
428146.8125,1990.9388325,313,"Beni Touzine, Marokko<br>Tanger, Marokko",0.000731057643924419
432070.8125,73.3733653725,942,"Werne , Nordrhein-Westfalen<br>Kamen , Nordrhein-Westfalen<br>Unna , Nordrhein-Westfalen<br>Lünen , Nordrhein-Westfalen",0.00218019818221348
437231.8125,8192.308443,112,"Henan, China",0.000256157024255869
