"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Thüringen","Altenburg ","Altenburg , Thüringen",113,50.98659897,12.43980026,397.4341096,37236,0.00303469760446879
"Schleswig-Holstein","Lübeck","Lübeck, Schleswig-Holstein",458,53.86626816,10.68087959,396.2163661,211213,0.00216842713279959
"Schleswig-Holstein","Rendsburg ","Rendsburg , Schleswig-Holstein",129,54.29779816,9.666950226,394.3730955,28476,0.00453013063632533
"Bayern","Monheim (Bayern)","Monheim (Bayern), Bayern",308,48.83929825,10.85140038,393.646554,43587,0.00706632711588318
"Sachsen","Leipzig","Leipzig, Sachsen",1243,51.34519958,12.3859396,391.5917323,506578,0.00245371887448725
"Baden-Württemberg","Ulm","Ulm, Baden-Württemberg",215,48.39459991,9.968560219,388.6720594,120925,0.00177796154641307
"Sachsen","Plauen","Plauen, Sachsen",110,50.4978981,12.16699982,387.7953638,68430,0.00160748209849481
"Sachsen-Anhalt","Dessau","Dessau, Sachsen-Anhalt",267,51.8360405,12.24283028,385.5236366,77394,0.00344987983564617
"Schleswig-Holstein","Neumünster ","Neumünster , Schleswig-Holstein",180,54.07014084,9.987830162,384.6742312,77936,0.00230958735372613
"Sachsen-Anhalt","Stendal","Stendal, Sachsen-Anhalt",142,52.60530853,11.85071659,381.7628776,36761,0.00386278936916841
"Thüringen","Gera ","Gera , Thüringen",236,50.87979889,12.11330032,376.0510292,102733,0.00229721705781005
"Baden-Württemberg","Villingen-Schwenningen","Villingen-Schwenningen, Baden-Württemberg",131,48.06216049,8.538020134,372.8539348,81825,0.00160097769630309
"Bayern","Bayreuth","Bayreuth, Bayern",102,49.91949844,11.5600996,368.2049293,73503,0.00138769846128729
"Baden-Württemberg","Freiburg","Freiburg, Baden-Württemberg",607,47.99853134,7.849649906,365.873534,217547,0.00279020165757285
"Sachsen-Anhalt","Köthen","Köthen, Sachsen-Anhalt",103,51.75,11.97119999,365.6651738,29667,0.00347187110257188
"Sachsen-Anhalt","Merseburg","Merseburg, Sachsen-Anhalt",120,51.33229828,11.99250031,364.1758689,34411,0.00348725698177908
"Sachsen-Anhalt","Halle (Saale)","Halle (Saale), Sachsen-Anhalt",600,51.45669937,11.96720028,362.6815671,235720,0.00254539283896148
"Bayern","Nürnberg","Nürnberg, Bayern",505,49.46519852,11.07600021,362.6240195,505664,0.000998686875079104
"Schleswig-Holstein","Itzehoe ","Itzehoe , Schleswig-Holstein",104,53.99000168,9.571260452,361.9587931,32982,0.00315323509793221
"Bayern","Erlangen","Erlangen, Bayern",184,49.58729935,11.02579975,352.1318876,103753,0.0017734426956329
"Sachsen-Anhalt","Magdeburg","Magdeburg, Sachsen-Anhalt",717,52.13185883,11.62777996,350.6658121,229826,0.00311975146415114
"Sachsen-Anhalt","Bernburg","Bernburg, Sachsen-Anhalt",111,51.79546738,11.73930645,350.5144174,31329,0.00354304318682371
"Baden-Württemberg","Reutlingen","Reutlingen, Baden-Württemberg",131,48.49499893,9.202969551,349.0975437,112431,0.00116515907534399
"Baden-Württemberg","Tübingen","Tübingen, Baden-Württemberg",270,48.52130127,9.052980423,341.2503298,83740,0.00322426558395032
"Hamburg","Hamburg","Hamburg, Hamburg",2775,53.55334091,9.992469788,339.8463742,1774224,0.00156406406406406
"Thüringen","Jena ","Jena , Thüringen",286,50.92039871,11.59070015,339.0131211,102494,0.00279040724335083
"Baden-Württemberg","Rheinhausen","Rheinhausen, Baden-Württemberg",123,48.22679138,7.710529804,338.9569405,3436,0.0357974388824214
"Niedersachsen","Lüneburg","Lüneburg, Niedersachsen",188,53.25270081,10.41180038,336.0963209,72057,0.00260904561666458
"Bayern","Bamberg","Bamberg, Bayern",130,49.89030075,10.90579987,327.6006982,69574,0.00186851410009486
"Niedersachsen","Uelzen","Uelzen, Niedersachsen",108,52.97449875,10.56260014,324.8810839,34758,0.00310719834282755
"Niedersachsen","Stade Hanse","Stade Hanse, Niedersachsen",138,53.59527,9.47672,322.1448465,45772,0.0030149436336625
"Baden-Württemberg","Stuttgart","Stuttgart, Baden-Württemberg",1097,48.76766968,9.171919823,321.7563452,593923,0.00184704077801331
"Niedersachsen","Cuxhaven","Cuxhaven, Niedersachsen",148,53.84429932,8.687970161,319.8035361,51899,0.00285169271084221
"Niedersachsen","Helmstedt","Helmstedt, Niedersachsen",115,52.22919846,10.99839973,312.7231691,25186,0.0045660287461288
"Bayern","Coburg","Coburg, Bayern",125,50.26570129,10.93809986,312.1408436,41638,0.00300206542100965
