"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Niedersachsen","Osnabrück","Osnabrück, Niedersachsen",670,52.29130173,8.054650307,148.660178,163020,0.00410992516255674
"Nordrhein-Westfalen","Paderborn ","Paderborn , Nordrhein-Westfalen",888,51.71813965,8.752039909,148.2389978,144258,0.00615563781558042
"Hessen","Marburg","Marburg, Hessen",407,50.80550003,8.777580261,147.6803262,95171,0.0042765128032699
"Hessen","Weimar an der Lahn","Weimar an der Lahn, Hessen",162,50.7597084,8.733200073,146.4680147,6935,0.0233597692862293
"Nordrhein-Westfalen","Mettingen","Mettingen, Nordrhein-Westfalen",104,52.31615067,7.780519962,140.6486033,12277,0.00847112486763867
"Niedersachsen","Georgsmarienhütte","Georgsmarienhütte, Niedersachsen",227,52.1977005,8.045419693,140.0795219,32505,0.00698354099369328
"Niedersachsen","Nordhorn","Nordhorn, Niedersachsen",383,52.4457016,7.065020084,138.2192108,53156,0.00720520731432011
"Nordrhein-Westfalen","Salzkotten ","Salzkotten , Nordrhein-Westfalen",128,51.67750168,8.614330292,137.7272492,24842,0.00515256420578053
"Nordrhein-Westfalen","Gütersloh ","Gütersloh , Nordrhein-Westfalen",395,51.90390015,8.425290108,137.6098479,96284,0.00410244692783848
"Rheinland-Pfalz","Wittlich ","Wittlich , Rheinland-Pfalz",118,49.98379898,6.8895998,137.1739635,17826,0.00661954448558286
"Nordrhein-Westfalen","Ibbenbüren ","Ibbenbüren , Nordrhein-Westfalen",236,52.28219986,7.704470158,134.8146174,51190,0.00461027544442274
"Nordrhein-Westfalen","Geseke ","Geseke , Nordrhein-Westfalen",103,51.63740158,8.501379967,128.8340996,20656,0.0049864446165763
"Nordrhein-Westfalen","Rheine ","Rheine , Nordrhein-Westfalen",443,52.28419876,7.476709843,128.2899477,76438,0.00579554671760119
"Nordrhein-Westfalen","Rheda-Wiedenbrück ","Rheda-Wiedenbrück , Nordrhein-Westfalen",232,51.83470917,8.304019928,126.4220181,46625,0.00497587131367292
"Nordrhein-Westfalen","Brilon ","Brilon , Nordrhein-Westfalen",249,51.38650131,8.566949844,126.335222,26964,0.00923453493546952
"Nordrhein-Westfalen","Emsdetten ","Emsdetten , Nordrhein-Westfalen",146,52.17979813,7.521830082,118.9607937,35683,0.00409158422778354
"Nordrhein-Westfalen","Oelde ","Oelde , Nordrhein-Westfalen",119,51.83209991,8.146849632,117.2560391,29445,0.00404143318050603
"Nordrhein-Westfalen","Warendorf ","Warendorf , Nordrhein-Westfalen",224,51.94269943,7.981440067,116.2609823,38609,0.00580175606723821
"Rheinland-Pfalz","Prüm ","Prüm , Rheinland-Pfalz",119,50.20864,6.419275,114.7465557,5343,0.0222721317611829
"Nordrhein-Westfalen","Greven ","Greven , Nordrhein-Westfalen",139,52.1053009,7.612979889,114.6261192,35546,0.00391042592696787
"Nordrhein-Westfalen","Gronau (Westfalen)","Gronau (Westfalen), Nordrhein-Westfalen",158,52.21139908,7.045670033,112.277925,46488,0.00339872655308897
"Nordrhein-Westfalen","Warstein ","Warstein , Nordrhein-Westfalen",141,51.43190002,8.343640327,111.8858699,28170,0.00500532481363152
"Rheinland-Pfalz","Gerolstein ","Gerolstein , Rheinland-Pfalz",116,50.21680069,6.661049843,111.3353755,7530,0.0154050464807437
"Nordrhein-Westfalen","Steinfurt ","Steinfurt , Nordrhein-Westfalen",249,52.15008926,7.338950157,110.9564639,34476,0.00722241559345632
"Rheinland-Pfalz","Koblenz ","Koblenz , Rheinland-Pfalz",629,50.36130142,7.587659836,110.8856445,105888,0.00594023874282261
"Nordrhein-Westfalen","Beckum ","Beckum , Nordrhein-Westfalen",211,51.76010132,8.04763031,107.0757947,37275,0.00566063044936284
"Nordrhein-Westfalen","Meschede","Meschede, Nordrhein-Westfalen",249,51.35279846,8.276539803,105.789554,31929,0.00779855303955652
"Rheinland-Pfalz","Mayen ","Mayen , Rheinland-Pfalz",129,50.33269882,7.226399899,103.1677354,19164,0.0067313713212273
"Nordrhein-Westfalen","Lenne ","Lenne , Nordrhein-Westfalen",175,51.13154984,8.22371006,101.6720733,720,0.243055555555556
"Nordrhein-Westfalen","Münster ","Münster , Nordrhein-Westfalen",2434,51.96300888,7.617809772,101.5314489,272106,0.00894504347570432
"Nordrhein-Westfalen","Soest ","Soest , Nordrhein-Westfalen",388,51.55879974,8.119050026,100.9732666,48442,0.00800957846496842
"Rheinland-Pfalz","Neuwied ","Neuwied , Rheinland-Pfalz",336,50.44189835,7.474229813,99.08810547,65750,0.00511026615969582
