Geburtsland,Geburtsort,Geburtsort_Land,Anzahl,Lat_Bing,Long_Bing,Distanz
Nordrhein-Westfalen,Krefeld ,"Krefeld , Nordrhein-Westfalen",2617,51.33390045,6.562300205,19.88396286
Nordrhein-Westfalen,Langenfeld (Rheinland),"Langenfeld (Rheinland), Nordrhein-Westfalen",1341,51.11059952,6.947969913,16.76291705
Nordrhein-Westfalen,Lemgo ,"Lemgo , Nordrhein-Westfalen",195,52.03820038,8.901579857,173.2790823
Nordrhein-Westfalen,Lenne ,"Lenne , Nordrhein-Westfalen",175,51.13154984,8.22371006,101.6720733
Nordrhein-Westfalen,Leverkusen ,"Leverkusen , Nordrhein-Westfalen",1380,51.03319168,6.981739998,24.87548206
Nordrhein-Westfalen,Linnich ,"Linnich , Nordrhein-Westfalen",100,50.97840118,6.265950203,44.41159283
Nordrhein-Westfalen,Lipp ,"Lipp , Nordrhein-Westfalen",403,50.99567032,6.568270206,28.45657704
Nordrhein-Westfalen,Lübbecke ,"Lübbecke , Nordrhein-Westfalen",121,52.31240082,8.632479668,176.9037405
Nordrhein-Westfalen,Lüdenscheid ,"Lüdenscheid , Nordrhein-Westfalen",568,51.21080017,7.586289883,56.61867705
Nordrhein-Westfalen,Lüdinghausen ,"Lüdinghausen , Nordrhein-Westfalen",118,51.77690125,7.460309982,78.43773242
Nordrhein-Westfalen,Lünen ,"Lünen , Nordrhein-Westfalen",266,51.610421,7.528793,68.33265555
Nordrhein-Westfalen,Marl ,"Marl , Nordrhein-Westfalen",426,51.64910126,7.109570026,53.48629667
Nordrhein-Westfalen,Meerbusch ,"Meerbusch , Nordrhein-Westfalen",1212,51.25188828,6.691020012,7.177230637
Nordrhein-Westfalen,Menden (Sauerland),"Menden (Sauerland), Nordrhein-Westfalen",243,51.43830109,7.799039841,75.48083031
Nordrhein-Westfalen,Meschede,"Meschede, Nordrhein-Westfalen",249,51.35279846,8.276539803,105.789554
Nordrhein-Westfalen,Mettingen,"Mettingen, Nordrhein-Westfalen",104,52.31615067,7.780519962,140.6486033
Nordrhein-Westfalen,Mettmann ,"Mettmann , Nordrhein-Westfalen",1645,51.24489975,6.96216011,13.40149301
Nordrhein-Westfalen,Minden ,"Minden , Nordrhein-Westfalen",384,52.28649902,8.945340157,191.3504326
Nordrhein-Westfalen,Moers ,"Moers , Nordrhein-Westfalen",910,51.44979858,6.67013979,27.06147112
Nordrhein-Westfalen,Mönchengladbach ,"Mönchengladbach , Nordrhein-Westfalen",3365,51.19549942,6.442679882,23.4047223
Nordrhein-Westfalen,Mülheim an der Ruhr ,"Mülheim an der Ruhr , Nordrhein-Westfalen",1269,51.43159866,6.878769875,25.05706363
Nordrhein-Westfalen,Münster ,"Münster , Nordrhein-Westfalen",2434,51.96300888,7.617809772,101.5314489
Nordrhein-Westfalen,Nettetal ,"Nettetal , Nordrhein-Westfalen",239,51.30624008,6.277369976,36.23707889
Nordrhein-Westfalen,Neuss ,"Neuss , Nordrhein-Westfalen",5462,51.21609879,6.667709827,7.569349323
Nordrhein-Westfalen,Oberhausen ,"Oberhausen , Nordrhein-Westfalen",1934,51.4694519,6.855090141,28.75323522
Nordrhein-Westfalen,Oelde ,"Oelde , Nordrhein-Westfalen",119,51.83209991,8.146849632,117.2560391
Nordrhein-Westfalen,Olpe ,"Olpe , Nordrhein-Westfalen",200,51.02600098,7.847869873,77.94851178
